"","Local Authorities","1","2","3","4","5","6","7","8"
"42","Brighton and Hove",0.00323974082073434,0.439524838012959,0.0399568034557235,0.0464362850971922,0.227861771058315,0.113390928725702,0.0734341252699784,0.0561555075593952
"43","Bristol, City of",0,0.202485380116959,0.0628654970760234,0.198099415204678,0.24780701754386,0.0635964912280702,0.0862573099415205,0.138888888888889
"44","Broadland",0.296912114014252,0,0,0,0.109263657957245,0.479809976247031,0.0118764845605701,0.102137767220903
"45","Bromley",0.00882352941176471,0.0490196078431373,0.120588235294118,0.151960784313725,0.346078431372549,0.241176470588235,0.0382352941176471,0.0441176470588235
"46","Bromsgrove",0.131313131313131,0,0,0,0.175084175084175,0.481481481481481,0.063973063973064,0.148148148148148
"47","Broxbourne",0.00689655172413793,0.0206896551724138,0.0241379310344828,0.127586206896552,0.382758620689655,0.179310344827586,0.13448275862069,0.124137931034483
"48","Broxtowe",0.0215633423180593,0.0134770889487871,0.00808625336927224,0.0808625336927224,0.180592991913747,0.452830188679245,0.0673854447439353,0.175202156334232
"49","Burnley",0.0305084745762712,0,0,0.132203389830508,0.101694915254237,0.23728813559322,0.125423728813559,0.372881355932203
"50","Bury",0.0149253731343284,0.0033167495854063,0.00165837479270315,0.129353233830846,0.233830845771144,0.334991708126036,0.111111111111111,0.170812603648425
"51","Caerphilly",0.0528169014084507,0,0,0,0.0985915492957746,0.214788732394366,0.0598591549295775,0.573943661971831
"52","Calderdale",0.061377245508982,0.00898203592814371,0.00149700598802395,0.0823353293413174,0.326347305389222,0.172155688622754,0.12125748502994,0.226047904191617
"53","Cambridge",0,0.354838709677419,0.0510752688172043,0.301075268817204,0.225806451612903,0.0241935483870968,0.032258064516129,0.010752688172043
"54","Camden",0,0.416555407209613,0.551401869158878,0.00801068090787717,0.0240320427236315,0,0,0
"55","Cannock Chase",0.0258899676375405,0,0,0,0.142394822006472,0.343042071197411,0.0711974110032362,0.41747572815534
"56","Canterbury",0.10828025477707,0.118895966029724,0.0106157112526539,0.0467091295116773,0.256900212314225,0.301486199575372,0.0785562632696391,0.0785562632696391
"57","Cardiff",0.000928505106778087,0.15041782729805,0.0473537604456825,0.146703806870938,0.2330547818013,0.194986072423398,0.0817084493964717,0.144846796657382
"58","Carlisle",0.204419889502762,0.0220994475138122,0,0.00276243093922652,0.154696132596685,0.19060773480663,0.11878453038674,0.306629834254144
"59","Carmarthenshire",0.434494195688226,0.00165837479270315,0,0.0066334991708126,0.0779436152570481,0.140961857379768,0.0514096185737977,0.286898839137645
"60","Castle Point",0,0,0,0,0.195121951219512,0.665505226480836,0.0174216027874564,0.121951219512195
"61","Causeway Coast and Glens",0.43859649122807,0,0,0,0.0789473684210526,0.152046783625731,0.0730994152046784,0.257309941520468
"62","Central Bedfordshire",0.128301886792453,0.00125786163522013,0.00125786163522013,0.0352201257861635,0.320754716981132,0.283018867924528,0.0440251572327044,0.186163522012579
"63","Ceredigion",0.640625,0.09375,0,0.00390625,0.1015625,0.02734375,0.04296875,0.08984375
"64","Charnwood",0.0745697896749522,0.0401529636711281,0.00191204588910134,0.0841300191204589,0.223709369024857,0.395793499043977,0.0439770554493308,0.135755258126195
"65","Chelmsford",0.0682656826568266,0.044280442804428,0.00553505535055351,0.033210332103321,0.321033210332103,0.326568265682657,0.0811808118081181,0.119926199261993
"66","Cheltenham",0.0101010101010101,0.156565656565657,0,0.00757575757575758,0.366161616161616,0.247474747474747,0.095959595959596,0.116161616161616
"67","Cherwell",0.214285714285714,0.00669642857142857,0.00669642857142857,0.100446428571429,0.299107142857143,0.196428571428571,0.0290178571428571,0.147321428571429
"68","Cheshire East",0.178313253012048,0.00481927710843374,0.000803212851405623,0.0216867469879518,0.179116465863454,0.375100401606426,0.0706827309236948,0.169477911646586
"69","Cheshire West and Chester",0.174030658250676,0.0351668169522092,0,0.000901713255184851,0.136158701532913,0.343552750225428,0.0793507664562669,0.230838593327322
"70","Chesterfield",0.0195530726256983,0.00837988826815642,0,0.00837988826815642,0.125698324022346,0.315642458100559,0.128491620111732,0.393854748603352
"71","Chichester",0.354330708661417,0.0183727034120735,0,0.005249343832021,0.270341207349081,0.131233595800525,0.068241469816273,0.152230971128609
"72","Chiltern",0.069204152249135,0,0,0.069204152249135,0.373702422145329,0.397923875432526,0.027681660899654,0.0622837370242214
"73","Chorley",0.138810198300283,0,0,0.0084985835694051,0.138810198300283,0.405099150141643,0.0764872521246459,0.232294617563739
"74","Christchurch",0.0662650602409639,0,0,0,0.355421686746988,0.331325301204819,0.102409638554217,0.144578313253012
"75","City of Edinburgh",0.003701989819528,0.381767700138825,0.0349375289217955,0.014345210550671,0.193428968070338,0.138361869504859,0.196668209162425,0.0367885238315595
"76","City of London",0,0.774193548387097,0.225806451612903,0,0,0,0,0
"77","Clackmannanshire",0.0651162790697674,0.00232558139534884,0,0,0.106976744186047,0.23953488372093,0.265116279069767,0.32093023255814
"78","Colchester",0.0821917808219178,0.0633561643835616,0.0136986301369863,0.0787671232876712,0.306506849315068,0.279109589041096,0.0753424657534247,0.101027397260274
"79","Comhairle nan Eilean Siar",0.561264822134387,0,0,0,0.0237154150197628,0.181818181818182,0.0632411067193676,0.1699604743083
"80","Conwy",0.209302325581395,0.0129198966408269,0,0,0.167958656330749,0.31266149870801,0.113695090439276,0.183462532299742
"81","Copeland",0.255144032921811,0,0,0,0.0411522633744856,0.135802469135802,0.0617283950617284,0.506172839506173
"82","Corby",0.0492610837438424,0,0,0.0591133004926108,0.0886699507389163,0.113300492610837,0.157635467980296,0.532019704433498
"83","Cornwall",0.436383928571429,0.0078125,0,0,0.193080357142857,0.0998883928571429,0.0669642857142857,0.195870535714286
